index,id,name_key,height,time,motion,tint,spots,crowd,fraction,one_trait,two_trait,palette,light,built
1,level_01,level.town,130,150,0.00,0.45,5,,,,,,day,yes
2,level_02,level.farm,128,150,0.00,0.45,5,,,,,,day,yes
3,level_03,level.fair,127,140,0.00,0.45,5,,,,,,day,yes
4,level_04,level.beach,125,140,0.00,0.45,5,,,,,,day,yes
5,level_05,level.station,124,130,0.00,0.45,5,,,,,,day,yes
6,level_06,level.market,122,130,0.00,0.45,5,,,,,,day,yes
7,level_07,level.snow,121,120,0.00,0.45,5,,,,,,day,yes
8,level_08,level.museum,119,120,0.00,0.45,5,,,,,,day,yes
9,level_09,level.stadium,117,110,0.00,0.45,5,,,,,,day,yes
10,level_10,level.airport,116,100,0.00,0.45,5,,,,,,day,yes
11,level_11,level.zoo,114,95,0.00,0.45,5,,,,,,day,yes
12,level_12,level.water,113,95,0.00,0.45,5,,,,,,day,yes
13,level_13,level.mall,111,90,0.00,0.45,5,,,,,,day,yes
14,level_14,level.castle,109,90,0.00,0.45,5,,,,,,day,yes
15,level_15,level.hospital,108,85,0.00,0.45,5,,,,,,day,yes
16,level_16,level.site,106,85,0.00,0.45,5,,,,,,day,yes
17,level_17,level.marathon,105,80,0.00,0.45,5,,,,,,day,yes
18,level_18,level.festival,103,80,0.00,0.45,5,,,,,,day,yes
19,level_19,level.nightfest,102,75,0.00,0.45,5,,,,,,dusk,yes
20,level_20,level.docks,100,70,0.00,0.45,5,700,22,2,0,,day,yes
21,level_21,level.rooftop,100,69,0.15,0.45,5,440,20,4,0,,day,yes
22,level_22,level.glasshouse,100,69,0.16,0.45,5,449,20,4,0,,day,yes
23,level_23,level.skibase,100,68,0.17,0.45,5,458,20,4,0,,day,yes
24,level_24,level.library,100,68,0.18,0.45,5,467,20,4,0,,day,yes
25,level_25,level.farmers,100,68,0.19,0.45,5,476,20,4,0,,day,yes
26,level_26,level.arcade,100,67,0.20,0.45,5,484,20,4,0,,day,yes
27,level_27,level.aquarium,100,67,0.21,0.45,5,493,20,4,0,,day,yes
28,level_28,level.cathedral,100,67,0.23,0.45,5,502,20,4,0,,day,yes
29,level_29,level.busdepot,100,67,0.24,0.45,5,511,20,4,0,,day,yes
30,level_30,level.waterpark,100,66,0.25,0.45,5,520,20,4,0,,day,yes
31,level_31,level.nursery,100,66,0.26,0.45,5,540,22,6,1,,day,yes
32,level_32,level.port,100,66,0.27,0.45,5,547,22,6,1,,day,yes
33,level_33,level.bazaar,100,65,0.28,0.45,5,553,22,6,1,,day,yes
34,level_34,level.bowling,100,65,0.29,0.45,5,560,22,6,1,,day,yes
35,level_35,level.firestation,100,65,0.30,0.45,5,567,22,6,1,,day,yes
36,level_36,level.auction,100,64,0.31,0.45,5,573,22,6,1,,day,yes
37,level_37,level.floralhall,100,64,0.32,0.45,5,580,22,6,1,,day,yes
38,level_38,level.recycling,100,64,0.33,0.45,5,587,22,6,1,,day,yes
39,level_39,level.baggage,100,64,0.34,0.45,5,593,22,6,1,,day,yes
40,level_40,level.parade,100,63,0.35,0.45,5,600,22,6,1,,day,yes
41,level_41,level.opencinema,100,63,0.37,0.45,5,620,26,8,1,,day,yes
42,level_42,level.criterium,100,63,0.38,0.45,5,627,26,8,1,,day,yes
